movie_id,title,year,rating,duration,metascore,actors
tt0253474,The Pianist,2003,8.5,150,85,nm0004778:Adrien Brody|nm0470981:Thomas Kretschmann|nm0277975:Frank Finlay|nm0288976:Emilia Fox|nm0954076:Michal Zebrowski|nm0832380:Ed Stoppard|nm0513520:Maureen Lipman|nm0962577:Jessica Kate Meyer|nm0713469:Julia Rayner|nm0611148:Wanja Mues|nm0725956:Richard Ridings|nm0789338:Nomi Sharron|nm0590372:Anthony Milner|nm0803944:Lucy Skeaping|nm1281253:Roddy Skeaping|nm1279616:Ben Harlan|nm0492458:Thomas Lawinky|nm0039784:Joachim Paul Assböck
tt6751668,Gisaengchung,2019,8.5,132,97,nm0814280:Song Kang-ho|nm1310525:Lee Sun-kyun|nm1856097:Cho Yeo-jeong|nm6079248:Choi Woo-sik|nm6476224:Park So-dam|nm5744538:Lee Jeong-eun|nm4525883:Jang Hye-jin|nm3745391:Park Myeong-hoon|nm7616095:Jung Ji-so|nm10700274:Jung Hyun-jun|nm4522499:Park Keun-rok|nm10860732:Jung Yi-seo|nm11261148:Jo Jae-myeong|nm10215504:Jung Ik-han|nm11044243:Kim Kyu-baek|nm11432327:Hwang In-kyung|nm9086195:Ahn Seong-bong|nm11432328:Kim Jin-hyung
tt0172495,Gladiator,2000,8.5,155,67,nm0000128:Russell Crowe|nm0001618:Joaquin Phoenix|nm0001567:Connie Nielsen|nm0001657:Oliver Reed|nm0001321:Richard Harris|nm0001394:Derek Jacobi|nm0005023:Djimon Hounsou|nm0774516:David Schofield|nm0795344:John Shrapnel|nm0032962:Tomas Arana|nm0005241:Ralf Moeller|nm0004829:Spencer Treat Clark|nm0376101:David Hemmings|nm0281107:Tommy Flanagan|nm0861752:Sven-Ole Thorsen|nm0229084:Omid Djalili|nm0568988:Nicholas McGaughey|nm0445479:Chris Kell
tt0054215,Psycho,1960,8.5,109,97,nm0000578:Anthony Perkins|nm0001463:Janet Leigh|nm0587256:Vera Miles|nm0001260:John Gavin|nm0000842:Martin Balsam|nm0570615:John McIntire|nm0643000:Simon Oakland|nm0007214:Frank Albertson|nm0386877:Patricia Hitchcock|nm0853299:Vaughn Taylor|nm0878354:Lurene Tuttle|nm0026930:John Anderson|nm0590123:Mort Mills|nm0020513:Fletcher Allen|nm0045839:Walter Bacon|nm2146004:Prudence Beers|nm0141275:Kit Carson|nm0164119:Johnny Clark
tt0110357,The Lion King,1994,8.5,88,88,nm0000111:Matthew Broderick|nm0000460:Jeremy Irons|nm0000469:James Earl Jones|nm0000155:Whoopi Goldberg|nm0000100:Rowan Atkinson|nm0129295:Niketa Calame-Harris|nm0191906:Jim Cummings|nm0347039:Robert Guillaume|nm0446702:Moira Kelly|nm0001447:Nathan Lane|nm0494922:Zoe Leader|nm0001507:Cheech Marin|nm0754676:Ernie Sabella|nm0801672:Madge Sinclair|nm0001795:Jonathan Taylor Thomas|nm0919798:Frank Welker|nm0146681:Cathy Cavadini|nm0243804:Judi M. Durand
tt0095327,Hotaru no haka,1989,8.5,88,94,nm0851302:Tsutomu Tatsumi|nm0794186:Ayano Shiraishi|nm0945312:Akemi Yamaguchi|nm0794002:Yoshiko Shinohara|nm12329614:Kôzô Hashida|nm10735745:Masayo Sakai|nm12329615:Kazumi Nozaki|nm4410046:Yoshio Matsuoka|nm12329616:Masahiro Kanetake|nm6979973:Kiyoshi Yanagawa|nm12329617:Hajime Maki|nm6087055:Atsuo Omote|nm12329618:Teruhisa Harita|nm0848991:Hiroshi Tanaka|nm7135999:Michio Denpô|nm5580208:Shirô Tamaki|nm0620235:Tadashi Nakamura|nm12329619:Mika Sekita
tt0407887,The Departed,2006,8.5,151,85,nm0000138:Leonardo DiCaprio|nm0000354:Matt Damon|nm0000197:Jack Nicholson|nm0000242:Mark Wahlberg|nm0000640:Martin Sheen|nm0935653:Ray Winstone|nm0267812:Vera Farmiga|nm0026364:Anthony Anderson|nm0000285:Alec Baldwin|nm0180984:Kevin Corrigan|nm0197647:James Badge Dale|nm0641244:David O'Hara|nm0001679:Mark Rolston|nm0906301:Robert Wahlberg|nm0198306:Kristen Dalton|nm2401565:Thomas B. Duffy|nm0400879:Richard Hughes|nm0533323:J.C. MacKenzie
tt2582802,Whiplash,2014,8.5,106,89,nm1886602:Miles Teller|nm0799777:J.K. Simmons|nm2552034:Melissa Benoist|nm0001663:Paul Reiser|nm3271473:Austin Stowell|nm4336119:Nate Lang|nm0611889:Chris Mulkey|nm0348515:Damon Gupton|nm0819320:Suanne Spoke|nm1045739:Max Kasch|nm5826958:Charlie Ian|nm2172460:Jayson Blair|nm2492243:Kofi Siriboe|nm1276956:Kavita Patil|nm4392192:C.J. Vana|nm0523061:Tarik Lowe|nm4903282:Tyler Kimball|nm1117946:Rogelio Douglas Jr.
tt0056058,Seppuku,1964,8.6,133,85,nm0619938:Tatsuya Nakadai|nm0410968:Akira Ishihama|nm0412615:Shima Iwashita|nm0848533:Tetsurô Tanba|nm0592756:Masao Mishima|nm0368049:Ichirô Nakatani|nm0766225:Kei Satô|nm0408343:Yoshio Inaba|nm0407030:Hisashi Igawa|nm1372205:Tôru Takeuchi|nm0031837:Yoshirô Aoki|nm0559581:Tatsuo Matsumura|nm0461983:Akiji Kobayashi|nm1082958:Kôichi Hayashi|nm0327104:Ryûtarô Gomi|nm0044469:Jô Azumi|nm0866736:Nakajirô Tomita|nm0024197:Shichisaburô Amatsu
tt0482571,The Prestige,2006,8.5,130,66,nm0000288:Christian Bale|nm0413168:Hugh Jackman|nm0424060:Scarlett Johansson|nm0000323:Michael Caine|nm0005305:Piper Perabo|nm0356017:Rebecca Hall|nm2195817:Samantha Mahurin|nm0000309:David Bowie|nm0785227:Andy Serkis|nm0204425:Daniel Davis|nm0682063:Jim Piddock|nm0623762:Christopher Neame|nm0752699:Mark Ryan|nm0715953:Roger Rees|nm0364807:Jamie Harris|nm0829685:Monty Stuart|nm0674052:Ron Perkins|nm0419633:Ricky Jay
tt0110413,Léon,1994,8.5,110,64,nm0000606:Jean Reno|nm0000198:Gary Oldman|nm0000204:Natalie Portman|nm0000732:Danny Aiello|nm0032216:Peter Appel|nm0089112:Willi One Blood|nm0187199:Don Creech|nm0321798:Keith A. Glascoe|nm0779685:Randolph Scott|nm0045937:Michael Badalucco|nm0338746:Ellen Greene|nm0716408:Elizabeth Regen|nm0560593:Carl J. Matusovich|nm0784262:Frank Senger|nm1707797:Lucius Wyatt Cherokee|nm0149987:Eric Challier|nm0076306:Luc Bernard|nm0494069:Maïwenn
tt9362722,Spider-Man: Across the Spider-Verse,2023,8.5,140,86,nm4271336:Shameik Moore|nm2794962:Hailee Steinfeld|nm3109964:Brian Tyree Henry|nm0904967:Luna Lauren Velez|nm2159926:Jake Johnson|nm1209966:Oscar Isaac|nm0005403:Jason Schwartzman|nm4793987:Issa Rae|nm2257207:Daniel Kaluuya|nm4175221:Karan Soni|nm0924154:Shea Whigham|nm2336966:Greta Lee|nm0991810:Mahershala Ali|nm3964350:Amandla Stenberg|nm7851611:Jharrel Jerome|nm1676221:Andy Samberg|nm4425051:Jack Quaid|nm0237222:Rachel Dratch
tt0120586,American History X,1998,8.5,119,62,nm0001570:Edward Norton|nm0000411:Edward Furlong|nm0000350:Beverly D'Angelo|nm0000497:Jennifer Lien|nm0839486:Ethan Suplee|nm0000103:Fairuza Balk|nm0000984:Avery Brooks|nm0001285:Elliott Gould|nm0005078:Stacy Keach|nm0750916:William Russ|nm0868956:Guy Torry|nm0181288:Joe Cortese|nm0808633:Jason Bose Smith|nm0529014:Antonio David Lyons|nm0812550:Alex Sol|nm0539537:Keram Malicki-Sánchez|nm0004709:Giuseppe Andrews|nm6783755:Michelle Christine White
tt0034583,Casablanca,1943,8.5,102,100,nm0000007:Humphrey Bogart|nm0000006:Ingrid Bergman|nm0002134:Paul Henreid|nm0001647:Claude Rains|nm0891998:Conrad Veidt|nm0002113:Sydney Greenstreet|nm0000048:Peter Lorre|nm0757064:S.Z. Sakall|nm0495495:Madeleine Lebeau|nm0933330:Dooley Wilson|nm0656226:Joy Page|nm0702798:John Qualen|nm0455893:Leonid Kinskey|nm0092290:Curt Bois|nm0007808:Abdullah Abbas|nm0010185:Enrique Acosta|nm0013306:Ed Agresti|nm3629365:Arnet Amos
tt0095765,Nuovo Cinema Paradiso,1990,8.5,174,80,nm0634159:Philippe Noiret|nm0134073:Enzo Cannavale|nm0041066:Antonella Attili|nm0199774:Isa Danieli|nm0347842:Leo Gullotta|nm0502813:Marco Leonardi|nm0535991:Pupella Maggio|nm0620919:Agnese Nano|nm0872689:Leopoldo Trieste|nm0143150:Salvatore Cascio|nm0162326:Tano Cimarosa|nm0224214:Nicola Di Pinto|nm0501665:Roberta Lena|nm0856196:Nino Terzo|nm0674742:Jacques Perrin|nm0287637:Brigitte Fossey|nm0481115:Nellina Laganà|nm0321291:Turi Giuffrida
tt0114814,The Usual Suspects,1995,8.5,106,76,nm0000228:Kevin Spacey|nm0000321:Gabriel Byrne|nm0001590:Chazz Palminteri|nm0000286:Stephen Baldwin|nm0001125:Benicio Del Toro|nm0001629:Kevin Pollak|nm0000592:Pete Postlethwaite|nm0000751:Suzy Amis|nm0002064:Giancarlo Esposito|nm0000445:Dan Hedaya|nm0000860:Paul Bartel|nm0107808:Carl Bressler|nm0800339:Phillipe Simon|nm0790436:Jack Shearer|nm0261452:Christine Estabrook|nm0163988:Clark Gregg|nm0402974:Morgan Hunter|nm0198470:Ken Daly
